true,pred
1.3574709,0.67954665
1.2214227,0.78982335
0.4016062,1.5207161
1.1226169,0.6354477
0.20753738,0.6740755
0.9062221,0.91089565
0.68923575,0.734834
0.18975027,0.3771328
0.31030938,0.69872165
0.3850361,0.69951165
0.7428086,0.4522323
0.38124725,0.68488586
0.70537424,0.58634317
0.2873046,0.6812645
0.80312705,0.35339135
0.5440466,0.93862915
0.3025514,0.7983537
0.8342664,0.74366945
0.79189914,0.7402162
0.75480205,0.6659322
1.6854511,0.6957832
0.6008103,0.52503586
0.62389195,0.60303694
0.5245936,0.5737511
0.46259025,0.5419888
0.5633763,0.8190616
0.37328178,0.53812325
0.99534684,0.80866474
0.56187063,0.608397
1.8942295,0.47375822
0.5984012,0.6980711
0.6822196,0.7802154
